id,no_pemasok,date,nama_pemasok,no_purchase_invoice,no_faktur_vendor,keterangan,no_akun_persediaan_barang,nama_akun_persediaan_barang,jumlah,id_barang,no_barang,keterangan_barang,qty,unit
1,PM0159,3-Jan-22,No Vendor,001,INVOICE 04-0322,"NEXIA -KOL Grandis Tenar , Youtube Video and Instagram Ads Boosting",6101,Biaya Iklan & Promosi (Digital),2.153.846,ID-019,ACC - 019,Youtube Video,1,Service
2,PM0088,3-Jan-22,MINO DIGITAL MEDIA,002,21/IN/CV/III/2022,Pemeliharaan website & server cakap periode MAR-SEP 22,6203121,Beban Tenaga profesional (project/lepasan),17.700.000,ID-021,ACC - 021,Pemeliharaan Website dan Server Cakap Periode Agustus 2021 - Januari 2022,1,Service
3,PM0159,5-Jan-22,No Vendor,003,INVOICE ZULFA,KOLZulfazida sebagai KOL yang mempromosikan Cakap Cuap Cuap Competition di Tiktok,610101,Biaya Iklan & Promosi (Langsung),300.000,ID-032,ACC - 032,Endorsement TikTok,1,Service
4,PM0189,8-Jan-22,PT HTTPOOL DIGITAL INDONESIA,004,#HTTPINA202100190,Cakap - November 2021 USD 875.31 App Install - Android USD 875.31,610101,Biaya Iklan & Promosi (Langsung),12.614.705,ID-044,ACC - 044,Programmatic Ads,1,Service
5,PM0189,8-Jan-22,PT HTTPOOL DIGITAL INDONESIA,004,#HTTPINA202100190,Cakap - November 2021 USD 875.31 App Install - Android USD 875.31,610101,Biaya Iklan & Promosi (Langsung),1.261.471,ID-044,ACC - 044,Programmatic Ads,1,Service
6,PM0171,17-Jan-22,PT NARADA SAHARA KENCANA,005,INV/NSK/202110/0004-,Partner ADX Asia (perpanjangan Placement Ads in Superindo TV) selama 3 bulan,610101,Biaya Iklan & Promosi (Langsung),57.375.000,ID-069,ACC - 069,Placement Ads Cakap,1,Service
7,PM0171,17-Jan-22,PT NARADA SAHARA KENCANA,005,INV/NSK/202110/0004-,Partner ADX Asia (perpanjangan Placement Ads in Superindo TV) selama 3 bulan,610101,Biaya Iklan & Promosi (Langsung),5.737.500,ID-069,ACC - 069,Placement Ads Cakap,1,Service
