no_jv,no_akun,tgl_jv,nama_akun,keterangan,debit,kredit,nama_dep
399888887000064,100009-1,3-Jan-22,Bank OCBC NISP 020800017988 (USD),005 - Pemindahbukuan DR 0020820241014 CR 1020800017988,1.070.850.000,0,
399888887000064,100102,3-Jan-22,Deposito Valas USD,005 - Pemindahbukuan DR 0020820241014 CR 1020800017988,0,107.085.000.000,
1 month revenue Feb 22,200002,28-Feb-22,Penerimaan dimuka Student,Reclass 1 month revenue Feb 22,843.259.000,0,
1 month revenue Feb 22,400001,28-Feb-22,Penerimaan SPP Murid,Reclass 1 month revenue Feb 22,0,843.259.000,EDU
1 month revenue Jan 22,200002,31-Jan-22,Penerimaan dimuka Student,Reclass 1 month revenue Jan 22,1.155.879.000,0,
1 month revenue Jan 22,400001,31-Jan-22,Penerimaan SPP Murid,Reclass 1 month revenue Jan 22,0,1.155.879.000,EDU
