tgl_faktur,no_purchase_invoice,vendor_code,nama_pemasok,no_faktur_vendor,keterangan,no_akun_beban,nama_akun_beban,nilai_beban,item_id,item_name,qty,unit,
01 Jan 2022,PI-003,V01,PT SELULAR MEDIA INFOTAMA,IVJK211083/2111/0331,Pulsa Internal Cakap Bulan November 2021,620303,Biaya Telekomunikasi / internet,736909,ID-CUTOFF,N/A,1,Services,
01 Jan 2022,PI-003,V01,PT SELULAR MEDIA INFOTAMA,IVJK211083/2111/0331,Pulsa Internal Cakap Bulan November 2021,620303,Biaya Telekomunikasi / internet,73691,ID-CUTOFF,N/A,1,Services,
01 Jan 2022,PI-005,V01,PT SELULAR MEDIA INFOTAMA,IVJK211083/2112/0165,,620303,Biaya Telekomunikasi / internet,236364,ID-CUTOFF,N/A,1,Services,
01 Jan 2022,PI-005,V01,PT SELULAR MEDIA INFOTAMA,IVJK211083/2112/0165,,620303,Biaya Telekomunikasi / internet,23636,ID-CUTOFF,N/A,1,Services,
06 Jan 2022,PI-010,V02,Universitas Indonesia (UI),001/UN2.F7.LBI.S/KEU.02.01.00/,TEACHER INDONESIAN COURSE - PER DEC 21,501003,Beban Jasa Training/Kursus,9603286,ID-CUTOFF,N/A,1,Services,
01 Jan 2022,PI-012,V03,PT MIDTRANS,MT/INV/MERC/2021/DES/307,MANDIRI CC + VA BCA : Billing for 1-30 NOV 2021,620399,Biaya Umum & Adm Lainnya,1618000,ID-CUTOFF,N/A,1,Services,
01 Jan 2022,PI-012,V03,PT MIDTRANS,MT/INV/MERC/2021/DES/307,MANDIRI CC + VA BCA : Billing for 1-30 NOV 2021,620399,Biaya Umum & Adm Lainnya,161800,ID-CUTOFF,N/A,1,Services,
01 Jan 2022,PI-014,V04,PT MNC KABEL MEDIACOM,34085/MKM-PM/XII/2021,biaya berlangganan internet FTTx - Metro 30 mbps (CID: 70115041610) periode: 15 des 2021 - 14 jan 2021,620303,Biaya Telekomunikasi / internet,4250000,ID-CUTOFF,N/A,1,Services,
01 Jan 2022,PI-014,V04,PT MNC KABEL MEDIACOM,34085/MKM-PM/XII/2021,biaya berlangganan internet FTTx - Metro 30 mbps (CID: 70115041610) periode: 15 des 2021 - 14 jan 2021,620303,Biaya Telekomunikasi / internet,425000,ID-CUTOFF,N/A,1,Services,
